Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Education_bachelors,Median_home_value,Year
00601,17113.0,41.9,14361.0,7493.0,10552.0,61.660725764039036,1729.0,83900.0,2019
00602,37751.0,42.9,16807.0,9694.0,18653.0,49.41061163942677,4001.0,85300.0,2019
00603,47081.0,42.1,16049.0,11259.0,23691.0,50.319661859348784,5561.0,118400.0,2019
00606,6392.0,44.3,12119.0,6093.0,4185.0,65.47246558197747,231.0,80800.0,2019
00610,26686.0,42.7,19898.0,10572.0,12204.0,45.73184441280072,2799.0,87600.0,2019
00612,59369.0,42.6,18741.0,10966.0,27631.0,46.54112415570415,7735.0,96700.0,2019
00616,10022.0,44.6,17007.0,9908.0,4825.0,48.1440830173618,1199.0,93100.0,2019
00617,23750.0,40.7,16984.0,9795.0,11392.0,47.96631578947368,2891.0,104500.0,2019
00622,6741.0,52.0,14615.0,11215.0,3255.0,48.28660436137071,867.0,118800.0,2019
00623,41746.0,42.6,17130.0,9691.0,21413.0,51.29353710535141,6163.0,106600.0,2019
00624,21936.0,38.9,16701.0,9488.0,12337.0,56.240882567469,2685.0,76500.0,2019
00627,31598.0,42.2,17000.0,10709.0,15741.0,49.81644407873916,3550.0,94400.0,2019
00631,1499.0,48.9,10244.0,7906.0,1054.0,70.31354236157438,148.0,87500.0,2019
00637,22383.0,42.2,17405.0,9864.0,10251.0,45.79815038198633,2519.0,95800.0,2019
00638,16412.0,42.5,16843.0,9260.0,8927.0,54.393126980258344,1448.0,89600.0,2019
00641,26712.0,43.9,15792.0,8833.0,13881.0,51.965408805031444,2974.0,90200.0,2019
00646,37095.0,41.0,30573.0,16763.0,12268.0,33.07184256638361,5338.0,135100.0,2019
00647,5809.0,44.7,14223.0,7468.0,3551.0,61.12928214839043,683.0,85900.0,2019
00650,14534.0,39.5,19764.0,8998.0,7562.0,52.029723407183155,1097.0,92400.0,2019
00652,3565.0,43.1,21987.0,11312.0,1452.0,40.72931276297335,518.0,93400.0,2019
00653,10484.0,41.9,12072.0,7196.0,6766.0,64.536436474628,724.0,89800.0,2019
00656,18485.0,41.3,17355.0,9115.0,10110.0,54.69299431971869,2499.0,79800.0,2019
00659,39950.0,42.1,17715.0,11144.0,18072.0,45.23654568210263,5222.0,93000.0,2019
00660,15943.0,47.2,19030.0,12479.0,6937.0,43.511258859687636,2145.0,98700.0,2019
00662,39700.0,41.7,16834.0,9014.0,21975.0,55.35264483627204,4489.0,103800.0,2019
00664,14693.0,38.6,14595.0,7270.0,8848.0,60.219151977131965,1252.0,94100.0,2019
00667,23186.0,45.8,14013.0,7467.0,14494.0,62.51186060553783,1992.0,87200.0,2019
00669,24803.0,42.9,16922.0,9196.0,13510.0,54.46921743337499,2712.0,85800.0,2019
00670,8364.0,42.1,14245.0,7711.0,4167.0,49.820659971305595,892.0,85000.0,2019
00674,38971.0,42.2,18299.0,11002.0,18333.0,47.04267275666521,4635.0,105000.0,2019
00676,36299.0,39.9,14992.0,10331.0,19599.0,53.99322295380038,3570.0,93800.0,2019
00677,14093.0,46.0,19943.0,12517.0,5851.0,41.51706520967856,1865.0,121700.0,2019
00678,25624.0,41.2,17144.0,10318.0,12588.0,49.12581954417733,2659.0,101400.0,2019
00680,45190.0,43.6,14217.0,10477.0,23342.0,51.653020579774285,4894.0,87400.0,2019
00682,31735.0,37.8,14706.0,11719.0,17392.0,54.803844335906724,4296.0,112600.0,2019
00683,29487.0,44.5,16332.0,10534.0,14770.0,50.08987011225286,3681.0,82300.0,2019
00685,37058.0,44.6,15185.0,9494.0,19904.0,53.71039991364888,3894.0,98000.0,2019
00687,30962.0,38.7,20941.0,9728.0,13879.0,44.82591563852464,2907.0,105700.0,2019
00688,12139.0,42.0,17874.0,9152.0,6110.0,50.333635390065076,1415.0,90900.0,2019
00690,5722.0,41.8,18288.0,11611.0,2934.0,51.27577770010486,894.0,117400.0,2019
00692,35135.0,39.5,20585.0,12078.0,15357.0,43.708552725202786,3777.0,115700.0,2019
00693,53360.0,41.4,19576.0,11009.0,24294.0,45.52848575712144,5631.0,106200.0,2019
00694,64.0,73.8,-666666666.0,7588.0,19.0,29.6875,0.0,-666666666.0,2019
00698,35317.0,43.8,14794.0,8413.0,17183.0,48.65362290115242,4858.0,91000.0,2019
00703,26097.0,41.9,18846.0,10735.0,12397.0,47.50354446871288,2698.0,114100.0,2019
00704,8108.0,32.6,17275.0,8501.0,4406.0,54.34139121854958,704.0,77600.0,2019
00705,22662.0,42.4,20214.0,11321.0,10010.0,44.17085870620422,2442.0,112500.0,2019
00707,10721.0,44.4,20760.0,9245.0,4885.0,45.56477940490626,1088.0,87600.0,2019
00714,17739.0,40.4,17615.0,8636.0,10471.0,59.02813010879982,1725.0,89400.0,2019
00715,2818.0,43.9,12188.0,7154.0,1906.0,67.63662171753016,118.0,82200.0,2019
00716,27513.0,44.6,17969.0,14182.0,13360.0,48.558863082906264,4457.0,112600.0,2019
00717,16086.0,40.6,12121.0,10647.0,8897.0,55.308964316797216,2234.0,102600.0,2019
00718,25430.0,37.9,19372.0,9353.0,11989.0,47.14510420762878,2590.0,92700.0,2019
00719,28556.0,41.3,18922.0,9119.0,13157.0,46.074380165289256,2655.0,88200.0,2019
00720,20758.0,40.0,15295.0,8339.0,11552.0,55.650833413623666,1894.0,85500.0,2019
00723,16984.0,45.0,16063.0,9682.0,9141.0,53.82124352331606,1489.0,90300.0,2019
00725,80537.0,41.9,21350.0,13585.0,33738.0,41.89130461775333,11298.0,121200.0,2019
00727,52743.0,40.8,31688.0,17636.0,16492.0,31.268604364560225,9260.0,137700.0,2019
00728,39083.0,39.5,19340.0,10157.0,18076.0,46.25028784893688,5404.0,98500.0,2019
00729,51015.0,40.1,21469.0,12656.0,21080.0,41.32118004508478,5839.0,108100.0,2019
00730,30175.0,40.6,15723.0,11042.0,16095.0,53.33885666942833,3724.0,92400.0,2019
00731,12657.0,40.5,15473.0,10534.0,6803.0,53.74891364462353,1668.0,77300.0,2019
00735,12159.0,42.6,18395.0,10956.0,5094.0,41.89489267209474,1179.0,91600.0,2019
00736,46085.0,43.7,21894.0,12761.0,19344.0,41.974612129760224,5551.0,116700.0,2019
00738,29196.0,42.3,19859.0,13251.0,12248.0,41.950952185230854,4168.0,103500.0,2019
00739,36734.0,40.1,20065.0,10918.0,16176.0,44.035498448304025,4124.0,117200.0,2019
00740,1915.0,32.5,12944.0,6668.0,1287.0,67.20626631853786,139.0,67600.0,2019
00741,4074.0,43.0,22121.0,11422.0,1787.0,43.86352479135984,324.0,85800.0,2019
00745,50435.0,41.1,22960.0,11517.0,19433.0,38.53078219490433,6717.0,114600.0,2019
00751,20677.0,43.1,18087.0,9869.0,10007.0,48.39676935725686,1906.0,84400.0,2019
00754,36893.0,42.2,19403.0,11271.0,16064.0,43.542135364432276,3796.0,109800.0,2019
00757,21757.0,38.8,19827.0,11596.0,9867.0,45.350921542492074,2585.0,93500.0,2019
00765,8523.0,47.2,14880.0,10440.0,3923.0,46.02839375806641,679.0,103800.0,2019
00766,22687.0,40.2,19682.0,10854.0,10816.0,47.674879887160046,2589.0,92100.0,2019
00767,33499.0,42.9,16295.0,9929.0,17766.0,53.03441893787874,3661.0,87200.0,2019
00769,38812.0,41.6,19700.0,11054.0,17855.0,46.0038132536329,4591.0,90900.0,2019
00771,36906.0,39.7,21175.0,11340.0,15647.0,42.39690023302444,4135.0,114000.0,2019
00772,19529.0,40.2,16107.0,8499.0,10320.0,52.84448768498131,1312.0,91100.0,2019
00773,18224.0,41.9,21850.0,11123.0,7682.0,42.15320456540825,1926.0,111200.0,2019
00775,1299.0,43.0,22667.0,14886.0,465.0,35.79676674364896,128.0,148800.0,2019
00777,39609.0,38.8,19830.0,10327.0,18622.0,47.01456739629882,3940.0,104300.0,2019
00778,46707.0,39.1,35183.0,18625.0,14101.0,30.1903354957501,7247.0,141900.0,2019
00780,11016.0,39.4,21663.0,13140.0,5132.0,46.58678286129267,1727.0,96000.0,2019
00782,17670.0,39.0,13683.0,7234.0,10316.0,58.381437464629315,1297.0,94800.0,2019
00783,32769.0,39.6,14995.0,8135.0,18420.0,56.21166346241875,3243.0,91600.0,2019
00784,39823.0,39.1,17415.0,10447.0,19004.0,47.721166160259145,4423.0,86400.0,2019
00786,360.0,54.0,37552.0,13462.0,46.0,12.777777777777779,0.0,103000.0,2019
00791,48433.0,43.3,20269.0,13179.0,20620.0,42.57427786839551,5716.0,97400.0,2019
00794,28434.0,36.7,17073.0,8550.0,15733.0,55.331645213476826,2737.0,99100.0,2019
00795,43873.0,39.4,20471.0,10397.0,20501.0,46.72805597975976,5930.0,91300.0,2019
00901,6617.0,45.0,21469.0,29932.0,2437.0,36.82937887260088,1077.0,288700.0,2019
00906,191.0,35.6,106518.0,63599.0,14.0,7.329842931937173,43.0,357700.0,2019
00907,15151.0,48.9,36495.0,41205.0,3900.0,25.74087518975645,3337.0,231900.0,2019
00909,4698.0,40.8,19443.0,16952.0,2013.0,42.84802043422733,663.0,129000.0,2019
00911,7089.0,47.6,35470.0,33282.0,1763.0,24.869516151784456,1728.0,260700.0,2019
00912,5660.0,46.0,22292.0,17735.0,2279.0,40.265017667844525,866.0,124200.0,2019
00913,7890.0,26.3,6493.0,8516.0,6391.0,81.00126742712294,527.0,370500.0,2019
00915,24888.0,41.0,12802.0,9366.0,15168.0,60.9450337512054,1463.0,87800.0,2019
00917,18196.0,48.2,15220.0,14535.0,8950.0,49.186634425148384,2133.0,115600.0,2019
00918,15759.0,43.3,25117.0,23687.0,6192.0,39.29183323814963,3506.0,171800.0,2019
00920,16281.0,46.7,25809.0,15824.0,5205.0,31.96978072599963,2823.0,146500.0,2019
00921,31801.0,39.8,18763.0,13733.0,14238.0,44.77217697556681,4324.0,134300.0,2019
00923,23851.0,42.3,14159.0,11557.0,12760.0,53.49880508154794,2375.0,108400.0,2019
00924,48141.0,39.8,18176.0,12932.0,23511.0,48.83778899482769,6429.0,128600.0,2019
00925,6640.0,37.1,11090.0,13221.0,3919.0,59.0210843373494,1010.0,128700.0,2019
00926,93330.0,44.5,35788.0,24073.0,25359.0,27.171327547412407,18793.0,170400.0,2019
00927,13626.0,44.9,35268.0,26116.0,3389.0,24.87156905915162,3307.0,193000.0,2019
00934,109.0,32.4,-666666666.0,18809.0,0.0,0.0,28.0,-666666666.0,2019
00936,773.0,60.7,-666666666.0,7617.0,0.0,0.0,67.0,-666666666.0,2019
00949,72943.0,40.6,27229.0,13995.0,24451.0,33.5206942407085,11204.0,127100.0,2019
00950,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,-666666666.0,2019
00951,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,-666666666.0,2019
00952,7598.0,45.0,14991.0,8904.0,4128.0,54.330086864964464,621.0,98200.0,2019
00953,71174.0,38.4,29019.0,14771.0,20895.0,29.357630595442156,11147.0,133900.0,2019
00956,63264.0,42.4,23127.0,13075.0,24676.0,39.0048052604957,8431.0,121200.0,2019
00957,38198.0,41.3,26667.0,13864.0,12830.0,33.58814597622912,5380.0,130400.0,2019
00959,46441.0,41.4,30466.0,16549.0,13832.0,29.784027045067937,8288.0,137000.0,2019
00960,2205.0,33.3,-666666666.0,3306.0,40.0,1.8140589569160999,37.0,-666666666.0,2019
00961,29743.0,44.3,29511.0,16906.0,9023.0,30.336549776417982,4624.0,149900.0,2019
00962,19082.0,38.4,15497.0,10627.0,10358.0,54.28152185305524,1440.0,106800.0,2019
00965,6709.0,48.8,15276.0,12815.0,3509.0,52.30287673274706,482.0,84800.0,2019
00966,15254.0,47.2,48163.0,33918.0,2950.0,19.33918972072899,4031.0,224700.0,2019
00968,3448.0,57.2,49099.0,41280.0,579.0,16.792343387470996,1165.0,217300.0,2019
00969,41941.0,42.1,50419.0,29145.0,7437.0,17.732052168522447,10432.0,222400.0,2019
00971,25925.0,43.9,22480.0,15459.0,8805.0,33.963355834136934,3321.0,122000.0,2019
00976,58640.0,40.9,32377.0,16538.0,17732.0,30.238744884038198,10736.0,146200.0,2019
00979,16130.0,48.7,34701.0,30272.0,2852.0,17.681339119652822,3818.0,170600.0,2019
00982,14346.0,44.8,24895.0,13184.0,5602.0,39.04921232399275,2164.0,136800.0,2019
00983,33947.0,40.8,25750.0,14541.0,11674.0,34.3889003446549,5088.0,134700.0,2019
00985,31682.0,43.6,26156.0,13515.0,10656.0,33.63424026260969,4108.0,131100.0,2019
00987,54241.0,41.2,32555.0,17530.0,14987.0,27.630390295164176,9863.0,142100.0,2019
01001,17312.0,46.1,63949.0,36540.0,1416.0,8.179297597042513,2640.0,215700.0,2019
01002,30014.0,23.4,61159.0,30847.0,6447.0,21.479976011194776,3385.0,355500.0,2019
01003,11357.0,19.9,2499.0,4378.0,69.0,0.607554812010214,13.0,-666666666.0,2019
01005,5128.0,48.1,67302.0,37464.0,427.0,8.326833073322932,572.0,236400.0,2019
01007,15005.0,42.3,91191.0,41753.0,907.0,6.044651782739087,2559.0,276900.0,2019
01008,1140.0,54.0,76333.0,40146.0,48.0,4.2105263157894735,208.0,243700.0,2019
01009,261.0,53.4,80714.0,35649.0,67.0,25.67049808429119,88.0,205300.0,2019
01010,3658.0,46.8,70063.0,36656.0,210.0,5.740841990158557,596.0,272200.0,2019
01011,1430.0,47.8,76500.0,32417.0,137.0,9.58041958041958,132.0,206800.0,2019
01012,585.0,54.1,67321.0,38399.0,43.0,7.35042735042735,61.0,249700.0,2019
01013,22733.0,35.7,43808.0,25552.0,4235.0,18.62930541503541,1963.0,183000.0,2019
01020,30108.0,44.5,60561.0,31081.0,2781.0,9.236747708250299,2814.0,187400.0,2019
01022,2586.0,33.6,46488.0,26787.0,546.0,21.11368909512761,325.0,120900.0,2019
01026,933.0,50.1,58438.0,32040.0,90.0,9.646302250803858,124.0,259800.0,2019
01027,17818.0,45.0,67119.0,37220.0,1533.0,8.603659221012459,3333.0,262400.0,2019
01028,16242.0,45.5,87748.0,40984.0,751.0,4.623814801132865,2858.0,268400.0,2019
01029,538.0,47.8,87727.0,41468.0,26.0,4.83271375464684,97.0,242200.0,2019
01030,11384.0,47.0,76000.0,38722.0,803.0,7.053759662684469,1765.0,253400.0,2019
01031,1135.0,46.2,38173.0,29001.0,220.0,19.383259911894275,136.0,198500.0,2019
01032,495.0,54.6,68750.0,38179.0,39.0,7.878787878787879,108.0,249000.0,2019
01033,6322.0,47.5,96979.0,45998.0,238.0,3.7646314457450174,1267.0,255800.0,2019
01034,2186.0,46.6,87750.0,38136.0,190.0,8.69167429094236,370.0,278700.0,2019
01035,5319.0,48.9,74364.0,46151.0,349.0,6.561383718744125,1302.0,340000.0,2019
01036,5178.0,51.5,91646.0,43369.0,130.0,2.5106218617226728,779.0,283100.0,2019
01037,747.0,32.3,80556.0,37060.0,54.0,7.228915662650603,79.0,272100.0,2019
01038,2734.0,49.9,72045.0,40071.0,122.0,4.462326261887345,578.0,305000.0,2019
01039,1207.0,55.0,94191.0,51111.0,47.0,3.8939519469759736,230.0,293900.0,2019
01040,40241.0,35.2,40769.0,23931.0,11471.0,28.505752839144158,3561.0,195800.0,2019
01050,2438.0,45.8,67750.0,34872.0,209.0,8.572600492206726,385.0,212300.0,2019
01053,1593.0,54.8,60823.0,33144.0,312.0,19.58568738229755,272.0,283500.0,2019
01054,2001.0,47.5,90978.0,50069.0,131.0,6.546726636681659,360.0,335300.0,2019
01056,21291.0,44.1,73458.0,33412.0,1777.0,8.346249589028227,2504.0,232300.0,2019
01057,8824.0,47.3,83008.0,39550.0,547.0,6.199002719854941,1028.0,247700.0,2019
01060,15948.0,35.1,61798.0,38081.0,1966.0,12.327564584900928,2840.0,354500.0,2019
01062,10364.0,47.2,75179.0,40428.0,1129.0,10.893477421844848,1968.0,320700.0,2019
01063,611.0,20.4,-666666666.0,4081.0,0.0,0.0,0.0,-666666666.0,2019
01066,31.0,-666666666.0,-666666666.0,,0.0,0.0,0.0,-666666666.0,2019
01068,1833.0,49.3,88571.0,38660.0,81.0,4.4189852700491,324.0,294800.0,2019
01069,8556.0,46.5,63750.0,34502.0,638.0,7.456755493221132,1273.0,206400.0,2019
