Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Education_bachelors,Median_home_value,Year
13602,4383.0,21.8,-666666666.0,22168.0,28.0,0.6388318503308237,141.0,-666666666.0,2020
13635,1108.0,42.4,55167.0,23913.0,152.0,13.71841155234657,68.0,77100.0,2020
13642,10055.0,45.1,40813.0,23560.0,1512.0,15.037294878170064,688.0,94100.0,2020
13654,2603.0,29.6,49338.0,21603.0,926.0,35.5743373031118,103.0,103300.0,2020
13656,2834.0,33.3,50667.0,23220.0,407.0,14.361326746647848,144.0,134800.0,2020
13659,382.0,51.5,57000.0,23513.0,59.0,15.44502617801047,26.0,103500.0,2020
13660,1641.0,35.5,59375.0,25340.0,295.0,17.97684338817794,145.0,106100.0,2020
13669,15870.0,42.8,53915.0,25745.0,2771.0,17.46061751732829,1251.0,84500.0,2020
52060,8107.0,42.6,51144.0,28983.0,1348.0,16.627605772788947,610.0,102700.0,2020
52064,846.0,37.1,52422.0,28444.0,44.0,5.200945626477542,69.0,133600.0,2020
52077,317.0,53.1,59375.0,30971.0,21.0,6.624605678233438,26.0,65900.0,2020
52144,1026.0,49.8,70398.0,42742.0,16.0,1.5594541910331383,105.0,142900.0,2020
52159,2412.0,42.6,61193.0,35659.0,164.0,6.799336650082918,276.0,128300.0,2020
52160,1003.0,47.5,71011.0,35614.0,39.0,3.8883349950149553,145.0,163500.0,2020
52041,1886.0,35.2,73024.0,30883.0,68.0,3.605514316012725,174.0,159000.0,2020
52163,352.0,36.6,48984.0,24164.0,6.0,1.7045454545454546,30.0,74200.0,2020
52172,6051.0,41.8,52597.0,27377.0,519.0,8.57709469509172,514.0,134600.0,2020
52201,1541.0,38.9,87679.0,35477.0,42.0,2.7255029201817003,167.0,155500.0,2020
52206,2644.0,37.0,95750.0,38612.0,92.0,3.479576399394856,382.0,239800.0,2020
52222,531.0,55.5,51518.0,27299.0,55.0,10.357815442561206,32.0,88000.0,2020
52241,21473.0,32.8,68038.0,42214.0,2365.0,11.013831323056863,4760.0,239900.0,2020
52246,23233.0,27.8,47888.0,36833.0,6059.0,26.079283777385616,3950.0,263500.0,2020
52253,2966.0,42.3,77108.0,33487.0,159.0,5.360755225893459,345.0,181000.0,2020
52301,3493.0,44.8,59369.0,31335.0,238.0,6.813627254509018,256.0,113400.0,2020
52307,89.0,32.2,-666666666.0,24408.0,0.0,0.0,15.0,-666666666.0,2020
52316,1665.0,41.1,55500.0,27061.0,115.0,6.906906906906907,151.0,105500.0,2020
52066,67.0,58.8,43750.0,29587.0,12.0,17.91044776119403,12.0,73800.0,2020
52166,93.0,38.9,48125.0,24853.0,6.0,6.451612903225806,5.0,75000.0,2020
52211,2435.0,38.8,56936.0,36317.0,376.0,15.441478439425051,203.0,134600.0,2020
52219,165.0,52.4,55625.0,34408.0,29.0,17.575757575757574,17.0,85500.0,2020
52314,5827.0,28.5,77778.0,30644.0,552.0,9.473142268748928,939.0,221300.0,2020
52359,204.0,40.3,58854.0,30803.0,5.0,2.450980392156863,30.0,151800.0,2020
52560,229.0,46.7,-666666666.0,37097.0,16.0,6.986899563318778,8.0,89500.0,2020
52318,950.0,50.8,71528.0,36730.0,51.0,5.368421052631579,80.0,156500.0,2020
52338,3672.0,44.7,108008.0,54090.0,127.0,3.4586056644880174,820.0,304000.0,2020
52342,3005.0,46.3,47262.0,26380.0,407.0,13.544093178036606,207.0,107800.0,2020
52354,315.0,59.4,60938.0,33168.0,23.0,7.301587301587301,38.0,170200.0,2020
52401,2173.0,34.1,39361.0,32231.0,406.0,18.68384721583065,325.0,143100.0,2020
52501,29613.0,39.3,45113.0,25800.0,5030.0,16.98578327086077,2511.0,84100.0,2020
52306,1436.0,47.6,63889.0,28314.0,137.0,9.540389972144848,102.0,139200.0,2020
52356,2600.0,40.6,51429.0,28742.0,136.0,5.230769230769231,186.0,165500.0,2020
52655,3978.0,44.1,50938.0,30097.0,419.0,10.532931121166415,314.0,133500.0,2020
52212,258.0,66.5,71094.0,35598.0,37.0,14.34108527131783,71.0,137500.0,2020
