Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Education_bachelors,Median_home_value,Year,lat,lng,city,state_name,county_names_all,Number of crimes,Prop_crime_rate
98107,24384.0,35.0,83581.0,59309.0,1653.0,6.779035433070866,9440.0,591000.0,2017,47.66757,-122.37789,Seattle,Washington,King,1373,0.056307415
98108,23759.0,37.1,74985.0,39950.0,4471.0,18.81813207626584,3688.0,580500.0,2021,47.54113,-122.3126,Seattle,Washington,King,1357,0.057115198
98108,24034.0,37.1,62530.0,35145.0,4371.0,18.186735458101023,3713.0,522900.0,2020,47.54113,-122.3126,Seattle,Washington,King,1307,0.054381293
98108,23639.0,36.4,61547.0,33269.0,4895.0,20.70730572359237,3484.0,459400.0,2019,47.54113,-122.3126,Seattle,Washington,King,1169,0.049452176
98108,23980.0,36.4,58526.0,29370.0,4613.0,19.23686405337781,3628.0,413700.0,2018,47.54113,-122.3126,Seattle,Washington,King,1350,0.056296914
98108,24134.0,35.6,55314.0,27214.0,5562.0,23.046324687163334,3657.0,367400.0,2017,47.54113,-122.3126,Seattle,Washington,King,1426,0.059086766
98109,29376.0,32.2,111059.0,90930.0,2372.0,8.074618736383442,10027.0,818200.0,2021,47.63128,-122.34486,Seattle,Washington,King,2109,0.071793301
98109,31011.0,31.0,107330.0,84375.0,2430.0,7.835929186417723,10454.0,739900.0,2020,47.63128,-122.34486,Seattle,Washington,King,2120,0.068362839
98109,30384.0,31.1,106393.0,79951.0,2258.0,7.431542917324908,10239.0,727300.0,2019,47.63128,-122.34486,Seattle,Washington,King,1889,0.062170879
98109,29154.0,31.5,102292.0,74081.0,2213.0,7.590725114907046,9616.0,660700.0,2018,47.63128,-122.34486,Seattle,Washington,King,2063,0.07076216
98109,27002.0,32.0,95719.0,72230.0,1978.0,7.325383304940375,8547.0,573300.0,2017,47.63128,-122.34486,Seattle,Washington,King,2005,0.074253759
98112,24412.0,39.2,133267.0,102595.0,1463.0,5.992954284777978,7496.0,1094300.0,2021,47.63242,-122.28732,Seattle,Washington,King,941,0.038546616
98112,25694.0,39.3,122388.0,100899.0,1757.0,6.838172335953919,8061.0,1063200.0,2020,47.63242,-122.28732,Seattle,Washington,King,943,0.036701175
98112,25474.0,39.2,118305.0,95857.0,1872.0,7.348669231373165,8319.0,998200.0,2019,47.63242,-122.28732,Seattle,Washington,King,850,0.033367355
98112,25426.0,38.8,115265.0,90911.0,1912.0,7.51986155903406,8165.0,953700.0,2018,47.63242,-122.28732,Seattle,Washington,King,966,0.037992606
98112,24720.0,38.8,110051.0,85165.0,2027.0,8.199838187702266,7779.0,890500.0,2017,47.63242,-122.28732,Seattle,Washington,King,985,0.039846278
98115,53729.0,37.1,128443.0,72682.0,3874.0,7.210258891846117,15432.0,890500.0,2021,47.68547,-122.28234,Seattle,Washington,King,1861,0.034636788
98115,55519.0,37.0,117038.0,66166.0,3979.0,7.166915830616546,16053.0,831000.0,2020,47.68547,-122.28234,Seattle,Washington,King,1831,0.032979701
98115,54109.0,36.1,111569.0,63327.0,4571.0,8.447762849063926,15307.0,751900.0,2019,47.68547,-122.28234,Seattle,Washington,King,1623,0.02999501
98115,53431.0,36.1,108069.0,59175.0,4889.0,9.15011884486534,14554.0,686100.0,2018,47.68547,-122.28234,Seattle,Washington,King,1824,0.034137486
98115,51523.0,37.2,100794.0,55491.0,5081.0,9.861615200978203,14352.0,613300.0,2017,47.68547,-122.28234,Seattle,Washington,King,1846,0.035828659
98116,27190.0,39.1,124795.0,76374.0,821.0,3.0194924604634057,8346.0,790200.0,2021,47.57399,-122.39503,Seattle,Washington,King,885,0.032548731
98116,28705.0,39.6,121967.0,70540.0,934.0,3.2537885385821284,8376.0,721700.0,2020,47.57399,-122.39503,Seattle,Washington,King,889,0.030970214
98116,27338.0,41.9,121208.0,70526.0,741.0,2.710512839271344,8652.0,709300.0,2019,47.57399,-122.39503,Seattle,Washington,King,770,0.028165923
98116,26448.0,42.2,107276.0,63408.0,1064.0,4.022988505747127,8333.0,650600.0,2018,47.57399,-122.39503,Seattle,Washington,King,848,0.032062916
98116,25694.0,42.3,100711.0,60743.0,1124.0,4.37456215458862,7940.0,602100.0,2017,47.57399,-122.39503,Seattle,Washington,King,865,0.033665447
98117,36365.0,39.9,146887.0,74563.0,1519.0,4.177093358999038,11096.0,849200.0,2021,47.6882,-122.38157,Seattle,Washington,King,1220,0.033548742
98117,36647.0,39.4,131508.0,69807.0,1333.0,3.637405517504844,11645.0,778100.0,2020,47.6882,-122.38157,Seattle,Washington,King,1170,0.031926215
98117,35645.0,39.1,116871.0,65347.0,1704.0,4.780474119792397,10994.0,706400.0,2019,47.6882,-122.38157,Seattle,Washington,King,1035,0.02903633
98117,35111.0,39.9,111220.0,58916.0,1939.0,5.522485830651362,10835.0,652500.0,2018,47.6882,-122.38157,Seattle,Washington,King,1161,0.03306656
98117,33610.0,40.1,102519.0,54508.0,1757.0,5.227610830110086,10543.0,596900.0,2017,47.6882,-122.38157,Seattle,Washington,King,1166,0.034692056
98118,48937.0,38.4,94790.0,48632.0,6188.0,12.644829065941924,9900.0,633000.0,2021,47.54235,-122.26872,Seattle,Washington,King,2432,0.049696549
98118,49702.0,38.3,85541.0,43201.0,6489.0,13.055812643354392,9793.0,571500.0,2020,47.54235,-122.26872,Seattle,Washington,King,2351,0.047301919
